,Neighborhood,bath,bed,latitude,logitude,price,size,year built,zipcode,Station Name,Route1,Route2,Route3,Route4,Route5,Route6,Route7,Route8,Route9,Route10,Route11,distance to subway
77,Central Harlem,1.0,1.0,40.800461,-73.952853,899000.0,910.0,2003,10026.0,110th St-Central Park North,2,3,,,,,,,,,,0.17231135966333957
78,Central Harlem,2.0,2.0,40.801099,-73.947102,1275000.0,1046.0,2014,10026.0,116th St,2,3,,,,,,,,,,0.22647609253538256
79,Central Harlem,1.0,1.0,40.798,-73.94899699999998,695000.0,696.0,1989,10026.0,110th St-Central Park North,2,3,,,,,,,,,,0.28210589220712246
80,Central Harlem,1.0,1.0,40.7985,-73.951698,815000.0,664.0,2019,10026.0,110th St-Central Park North,2,3,,,,,,,,,,0.0665646248370825
81,Central Harlem,1.0,1.0,40.801077,-73.94779399999999,700000.0,742.0,2006,10026.0,116th St,2,3,,,,,,,,,,0.17690281578827088
82,Central Harlem,1.0,1.0,40.803298,-73.957199,729000.0,709.0,,10026.0,116th St,B,C,,,,,,,,,,0.17281596176587152
83,Central Harlem,1.0,1.0,40.798,-73.94899699999998,750000.0,675.0,1989,10026.0,110th St-Central Park North,2,3,,,,,,,,,,0.28210589220712246
84,Central Harlem,1.0,2.0,40.808923,-73.95361199999998,325000.0,46752.0,1912,10027.0,125th St,A,B,C,D,,,,,,,,0.19817017017182212
85,Central Harlem,3.0,8.0,40.805801,-73.949302,2200000.0,4500.0,1920,10027.0,125th St,2,3,,,,,,,,,,0.36465644821563387
86,Central Harlem,3.0,6.0,40.80516,-73.94976899999997,3995000.0,4300.0,1920,10027.0,116th St,2,3,,,,,,,,,,0.32592564385955297
87,Central Harlem,1.0,3.0,40.8083,-73.956001,599950.0,,1987,10027.0,125th St,A,B,C,D,,,,,,,,0.3690542775319349
88,Central Harlem,4.0,4.0,40.806326,-73.947459,2424000.0,3952.0,1899,10027.0,125th St,2,3,,,,,,,,,,0.20818793888935405
89,Central Harlem,4.0,7.0,40.805642,-73.948964,2800000.0,5800.0,1920,10027.0,125th St,2,3,,,,,,,,,,0.35282925665907516
90,Central Harlem,4.0,6.0,40.805167,-73.945886,4200000.0,6000.0,1899,10027.0,125th St,2,3,,,,,,,,,,0.267138147934485
91,Central Harlem,1.0,2.0,40.8184,-73.9546,476000.0,650.0,1905,10027.0,137th St-City College,1,,,,,,,,,,,0.32820056063919706
92,Central Harlem,6.0,5.0,40.80937700000001,-73.95469,2750000.0,3840.0,1899,10027.0,125th St,A,B,C,D,,,,,,,,0.20651847246739866
93,Central Harlem,1.0,2.0,40.81103,-73.958377,579000.0,,1901,10027.0,125th St,1,,,,,,,,,,,0.4573744965362815
94,Central Harlem,0.0,5.0,40.812197999999995,-73.944099,949000.0,,No,10027.0,135th St,2,3,,,,,,,,,,0.32280892153182245
95,Central Harlem,1.0,2.0,40.810039,-73.95853100000002,650000.0,725.0,1920,10027.0,116th St-Columbia University,1,,,,,,,,,,,0.4629640789455563
96,Central Harlem,1.0,3.0,40.81342100000001,-73.960461,880000.0,,1940,10027.0,125th St,1,,,,,,,,,,,0.25082287422588606
97,Central Harlem,2.0,2.0,40.808911,-73.96523,1450000.0,,1910,10027.0,116th St-Columbia University,1,,,,,,,,,,,0.12967716536221777
98,Central Harlem,5.0,5.0,40.805049,-73.946377,4675000.0,4540.0,1909,10027.0,125th St,2,3,,,,,,,,,,0.28832796745247924
99,Central Harlem,1.0,1.0,40.816331,-73.960074,445000.0,600.0,1910,10027.0,125th St,1,,,,,,,,,,,0.1465397875451415
100,Central Harlem,2.0,2.0,40.808267,-73.951287,950000.0,1023.0,1910,10027.0,125th St,A,B,C,D,,,,,,,,0.27384893173125213
101,Central Harlem,2.0,3.0,40.815101,-73.953498,1360000.0,1248.0,2018,10027.0,125th St,A,B,C,D,,,,,,,,0.37607176281786425
102,Central Harlem,5.0,17.0,40.804697999999995,-73.945899,3300000.0,5500.0,1909,10027.0,125th St,2,3,,,,,,,,,,0.31902312410582584
103,Central Harlem,11.0,6.0,40.80692,-73.951992,4375000.0,4590.0,1910,10027.0,116th St,B,C,,,,,,,,,,0.37670549829667993
104,Central Harlem,3.0,4.0,40.807448,-73.950118,3250000.0,2340.0,2005,10027.0,125th St,2,3,,,,,,,,,,0.3683740644022106
105,Central Harlem,6.0,6.0,40.809298999999996,-73.946502,3295000.0,5100.0,1910,10027.0,125th St,2,3,,,,,,,,,,0.1667322684055868
106,Central Harlem,1.0,2.0,40.813881,-73.96066,699999.0,,1926,10027.0,125th St,1,,,,,,,,,,,0.22127750281580574
107,Central Harlem,1.5,2.0,40.807201,-73.953598,769000.0,861.0,2003,10027.0,116th St,B,C,,,,,,,,,,0.3292401619648068
108,Central Harlem,4.0,5.0,40.811381,-73.945577,3495000.0,3280.0,2000,10027.0,125th St,2,3,,,,,,,,,,0.3765324435044015
109,Central Harlem,4.0,6.0,40.805091,-73.94960400000002,2950000.0,4500.0,1899,10027.0,116th St,2,3,,,,,,,,,,0.31842793378333933
110,Central Harlem,2.0,2.0,40.804297999999996,-73.946536,1400000.0,1200.0,1909,10027.0,116th St,2,3,,,,,,,,,,0.3446165017997128
111,Central Harlem,2.0,2.0,40.8069,-73.954696,999000.0,925.0,2006,10027.0,116th St,B,C,,,,,,,,,,0.2616941442304278
112,Central Harlem,5.0,8.0,40.806452,-73.948945,3500000.0,5507.0,1910,10027.0,125th St,2,3,,,,,,,,,,0.3014899873677362
113,Central Harlem,1.0,1.0,40.81103,-73.958377,395000.0,,1901,10027.0,125th St,1,,,,,,,,,,,0.4573744965362815
114,Central Harlem,5.0,4.0,40.813701,-73.946502,2199000.0,3183.0,1910,10027.0,135th St,B,C,,,,,,,,,,0.37170468144223484
115,Central Harlem,2.0,2.0,40.813899,-73.946601,1795000.0,,1910,10027.0,135th St,B,C,,,,,,,,,,0.34820848429447976
116,Central Harlem,1.0,1.0,40.81251500000001,-73.958696,489000.0,700.0,1956,10027.0,125th St,1,,,,,,,,,,,0.29301956277598185
117,Central Harlem,2.0,3.0,40.807423,-73.953588,1198000.0,1116.0,2003,10027.0,116th St,B,C,,,,,,,,,,0.3512145335562174
