bath,bed,latitude,logitude,price,size,year built,zipcode,distance to subway,complaints
3,3,40.746898,-73.989303,6350000,2190,2017,10001,0.1587159,5441.0
3,3,40.748452,-73.995774,3995000,1812,2006,10001,0.224201758,5441.0
5,4,40.75509,-74.00518199999999,15775000,3436,2019,10001,0.325704955,5441.0
1,2,40.744626000000004,-73.99233100000001,1625000,1060,1905,10001,0.179420178,5441.0
2,3,40.749254,-73.994884,2395000,1750,1927,10001,0.237201469,5441.0
3,3,40.744819,-73.994759,4995000,2258,1911,10001,0.09221363199999999,5441.0
1,1,40.751379,-74.003906,1099000,776,2009,10001,0.44830026700000003,5441.0
4,5,40.751098,-74.002998,15000000,4217,2016,10001,0.44610722799999997,5441.0
4,3,40.75509,-74.00518199999999,11850000,3099,2019,10001,0.325704955,5441.0
2,3,40.7448,-73.994796,7895000,3900,1911,10001,0.088768115,5441.0
5,4,40.749,-74.003501,16950000,4352,2018,10001,0.549090159,5441.0
2,1,40.745598,-73.991968,2850000,1850,1907,10001,0.17360673899999998,5441.0
4,3,40.75509,-74.00518199999999,8950000,2453,2019,10001,0.325704955,5441.0
3,2,40.746898,-73.989303,2975000,1310,2017,10001,0.1587159,5441.0
2,3,40.745343,-73.99328100000001,2795000,1700,1911,10001,0.14100694800000002,5441.0
3,3,40.746898,-73.989303,6495000,2530,2017,10001,0.1587159,5441.0
4,4,40.751098,-74.002998,12500000,3840,2016,10001,0.44610722799999997,5441.0
3,2,40.75509,-74.00518199999999,5775000,1892,2019,10001,0.325704955,5441.0
4,4,40.748339,-74.000384,6500000,3128,1913,10001,0.287461173,5441.0
4,3,40.7523,-74.00389799999999,4750000,2272,2016,10001,0.36178103899999997,5441.0
4,3,40.75509,-74.00518199999999,9850000,2570,2019,10001,0.325704955,5441.0
3,3,40.7523,-74.00389799999999,3500000,1859,2018,10001,0.36178103899999997,5441.0
3,2,40.751098,-74.002998,4795000,1717,2016,10001,0.44610722799999997,5441.0
4,3,40.7523,-74.00389799999999,3850000,2180,2016,10001,0.36178103899999997,5441.0
2,2,40.746898,-73.989303,2475000,1310,2017,10001,0.1587159,5441.0
1,3,40.749254,-73.994884,1995000,1706,1927,10001,0.237201469,5441.0
3,3,40.747685,-73.99117,2800000,1987,1929,10001,0.172428878,5441.0
4,3,40.751098,-74.002998,9595000,2905,2016,10001,0.44610722799999997,5441.0
