Neighborhood,bath,bed,latitude,logitude,price,size,year built,zipcode
Central Harlem,5.0,0.0,40.816299,-73.944702,1450000.0,3332,1910,10030.0
Central Harlem,6.0,6.0,40.822586,-73.944695,2815000.0,3350,1901,10030.0
Central Harlem,2.0,2.0,40.818126,-73.945633,929000.0,,,10030.0
Central Harlem,2.0,3.0,40.817901,-73.945098,960000.0,1172,1980,10030.0
Central Harlem,6.0,6.0,40.818276,-73.944203,3295000.0,5160,1899,10030.0
Central Harlem,2.0,1.0,40.813818,-73.943601,480000.0,600,1910,10030.0
Central Harlem,1.0,1.0,40.816501,-73.941101,310000.0,750,1930,10030.0
Central Harlem,2.0,3.0,40.821686,-73.942836,850000.0,1300,1920,10030.0
Central Harlem,1.0,2.0,40.813818,-73.943601,639000.0,875,1910,10030.0
Central Harlem,2.0,2.0,40.8152,-73.948196,899100.0,999,2019,10030.0
Central Harlem,2.0,2.0,40.8176,-73.94609799999998,899000.0,1175,,10030.0
Central Harlem,5.0,4.0,40.8183,-73.9434,2000000.0,2900,,10030.0
Central Harlem,2.0,3.0,40.816898,-73.942001,1568000.0,,2018,10030.0
Central Harlem,1.0,2.0,40.813818,-73.943601,680000.0,887,1910,10030.0
Central Harlem,0.0,0.0,40.8176,-73.942497,1890000.0,4560,1910,10030.0
Central Harlem,2.0,2.0,40.816898,-73.942001,1118000.0,863,2018,10030.0
Central Harlem,1.0,1.0,40.819468,-73.93929399999998,575000.0,766,2008,10030.0
Central Harlem,1.0,0.0,40.81743,-73.944129,438880.0,350,1893,10030.0
Central Harlem,1.0,1.0,40.819468,-73.93929399999998,645000.0,803,2008,10030.0
Central Harlem,2.0,2.0,40.816898,-73.942001,1498000.0,,2018,10030.0
Central Harlem,2.0,1.0,40.8152,-73.948196,764100.0,794,2019,10030.0
Central Harlem,1.0,1.0,40.818599,-73.942298,775000.0,900,1926,10030.0
Central Harlem,1.0,1.0,40.8152,-73.948196,602100.0,629,2019,10030.0
Central Harlem,1.0,1.0,40.8152,-73.948196,688500.0,724,2019,10030.0
Central Harlem,1.0,0.0,40.816898,-73.942001,588000.0,476,2018,10030.0
Central Harlem,2.0,2.0,40.816898,-73.942001,1180000.0,1019,2018,10030.0
Central Harlem,1.0,1.0,40.8152,-73.948196,629100.0,704,2019,10030.0
Central Harlem,2.0,2.0,40.816898,-73.942001,1208000.0,1051,2018,10030.0
Central Harlem,2.0,2.0,40.816898,-73.942001,1238000.0,1057,2018,10030.0
Central Harlem,1.0,1.0,40.819468,-73.93929399999998,695000.0,803,2008,10030.0
Central Harlem,2.0,2.0,40.816898,-73.942001,1158000.0,1057,2018,10030.0
Central Harlem,1.0,1.0,40.816898,-73.942001,798000.0,792,2018,10030.0
Central Harlem,1.0,1.0,40.816898,-73.942001,720000.0,622,2018,10030.0
Central Harlem,1.0,0.0,40.816898,-73.942001,599000.0,520,2018,10030.0
Central Harlem,1.0,1.0,40.816898,-73.942001,690000.0,,2018,10030.0
Central Harlem,1.0,1.0,40.816898,-73.942001,750000.0,,2018,10030.0
Central Harlem,1.0,1.0,40.816898,-73.942001,745000.0,627,2018,10030.0
Central Harlem,2.0,4.0,40.8152,-73.93800300000002,399000.0,910,1925,10037.0
Central Harlem,2.0,3.0,40.80979,-73.93800300000002,659000.0,1300,1920,10037.0
Central Harlem,4.0,10.0,40.810001,-73.94159599999998,1295000.0,,1909,10037.0
Central Harlem,4.0,13.0,40.810501,-73.941497,2000000.0,4800,1910,10037.0
Central Harlem,4.0,11.0,40.810001,-73.941497,1395000.0,3654,1910,10037.0
Central Harlem,7.0,7.0,40.810647,-73.94189200000002,3700000.0,5700,1910,10037.0
Central Harlem,5.0,5.0,40.811714,-73.941722,2599999.0,3744,1880,10037.0
Central Harlem,1.0,0.0,40.815446,-73.93768100000001,345000.0,284,1940,10037.0
Central Harlem,2.0,2.0,40.816101,-73.938301,925000.0,1005,2018,10037.0
Central Harlem,2.0,3.0,40.816101,-73.938301,1450000.0,1114,2018,10037.0
Central Harlem,2.0,2.0,40.816101,-73.938301,975000.0,1005,2018,10037.0
Central Harlem,2.0,2.0,40.816101,-73.938301,1075000.0,1025,2018,10037.0
Central Harlem,1.0,1.0,40.816101,-73.938301,649000.0,681,2018,10037.0
Central Harlem,1.0,1.0,40.816101,-73.938301,675000.0,669,2018,10037.0
Central Harlem,1.0,2.0,40.8255,-73.941001,565000.0,950,,10039.0
Central Harlem,1.0,2.0,40.824798,-73.9402,575000.0,,2002,10039.0
Central Harlem,1.0,1.0,40.826485,-73.94015999999998,450000.0,594,1921,10039.0
Central Harlem,3.0,3.0,40.824001,-73.939498,1995000.0,2700,1903,10039.0
Central Harlem,2.0,3.0,40.8227,-73.942298,890000.0,1170,2003,10039.0
Central Harlem,2.0,3.0,40.823393,-73.942262,960000.0,1085,2005,10039.0
Central Harlem,1.0,1.0,40.826485,-73.94015999999998,500000.0,587,1921,10039.0
Central Harlem,2.0,2.0,40.823393,-73.942262,848000.0,942,2005,10039.0
Central Harlem,1.0,1.0,40.824001,-73.939498,725000.0,796,1903,10039.0
Central Harlem,1.0,1.0,40.823856,-73.93871800000002,605000.0,750,2012,10039.0
Central Harlem,2.0,2.0,40.823393,-73.942262,919000.0,1053,2005,10039.0
Chelsea and Clinton,9.0,7.0,40.751098,-74.002998,58500000.0,11121,2016,10001.0
Chelsea and Clinton,3.5,3.0,40.751998,-74.003303,18500000.0,6400,1904,10001.0
Chelsea and Clinton,6.0,5.0,40.7518,-74.002799,22500000.0,4510,2017,10001.0
Chelsea and Clinton,2.0,3.0,40.746077,-73.988136,2890000.0,,1871,10001.0
Chelsea and Clinton,1.0,1.0,40.746187,-73.98666800000002,1195000.0,950,1895,10001.0
Chelsea and Clinton,6.5,5.0,40.751098,-74.002998,39500000.0,6853,2016,10001.0
Chelsea and Clinton,2.0,2.0,40.749254,-73.994884,1750000.0,1103,1927,10001.0
Chelsea and Clinton,4.0,3.0,40.7523,-74.00389799999998,7500000.0,2945,2016,10001.0
Chelsea and Clinton,12.0,0.0,40.744899,-73.992202,21000000.0,26027,1907,10001.0
Chelsea and Clinton,5.0,9.0,40.748451,-74.00258199999998,5790000.0,3900,1900,10001.0
Chelsea and Clinton,4.0,3.0,40.7518,-74.002799,15100000.0,2708,2017,10001.0
Chelsea and Clinton,4.0,4.0,40.748298,-74.000396,6500000.0,3128,1914,10001.0
Chelsea and Clinton,1.0,0.0,40.753662,-73.997671,450000.0,450,1963,10001.0
Chelsea and Clinton,4.0,3.0,40.75509,-74.00518199999998,13975000.0,2656,2019,10001.0
Chelsea and Clinton,2.0,5.0,40.746299,-73.997299,8250000.0,4068,1900,10001.0
Chelsea and Clinton,2.0,3.0,40.749254,-73.994884,2795000.0,2100,1927,10001.0
Chelsea and Clinton,2.0,4.0,40.745657,-73.992866,3000000.0,2753,1910,10001.0
Chelsea and Clinton,4.0,3.0,40.7518,-74.002799,6950000.0,2278,2017,10001.0
Chelsea and Clinton,3.0,3.0,40.749,-74.003501,5595000.0,2152,2018,10001.0
Chelsea and Clinton,5.0,5.0,40.7518,-74.002799,9750000.0,3586,2017,10001.0
Chelsea and Clinton,3.0,3.0,40.748339,-74.000384,3900000.0,2124,1914,10001.0
Chelsea and Clinton,5.0,4.0,40.75509,-74.00518199999998,17775000.0,3848,2019,10001.0
Chelsea and Clinton,2.0,2.0,40.7537,-73.997703,1395000.0,,1963,10001.0
Chelsea and Clinton,1.0,1.0,40.747352,-73.996133,1388000.0,1100,1918,10001.0
Chelsea and Clinton,5.0,3.0,40.746498,-73.996002,4850000.0,4200,1925,10001.0
Chelsea and Clinton,2.0,2.0,40.7485,-73.995796,1435000.0,1150,2006,10001.0
Chelsea and Clinton,1.0,1.0,40.745947,-73.996663,739000.0,650,1925,10001.0
Chelsea and Clinton,3.0,2.0,40.75509,-74.00518199999998,5125000.0,1492,2019,10001.0
Chelsea and Clinton,1.0,0.0,40.753662,-73.997671,490000.0,,1963,10001.0
Chelsea and Clinton,3.0,3.0,40.744184,-73.99221899999998,4550000.0,2500,1913,10001.0
Chelsea and Clinton,3.5,3.0,40.746898,-73.989303,6350000.0,2190,2017,10001.0
Chelsea and Clinton,3.0,3.0,40.748452,-73.995774,3995000.0,1812,2006,10001.0
Chelsea and Clinton,5.0,4.0,40.75509,-74.00518199999998,15775000.0,3436,2019,10001.0
Chelsea and Clinton,1.0,2.0,40.744626,-73.99233100000002,1625000.0,1060,1905,10001.0
Chelsea and Clinton,2.0,3.0,40.749254,-73.994884,2395000.0,1750,1927,10001.0
Chelsea and Clinton,3.0,3.0,40.744819,-73.994759,4995000.0,2258,1911,10001.0
Chelsea and Clinton,1.0,1.0,40.751379,-74.003906,1099000.0,776,2009,10001.0
Chelsea and Clinton,4.5,5.0,40.751098,-74.002998,15000000.0,4217,2016,10001.0
Chelsea and Clinton,4.0,3.0,40.75509,-74.00518199999998,11850000.0,3099,2019,10001.0
Chelsea and Clinton,2.5,3.0,40.7448,-73.994796,7895000.0,3900,1911,10001.0
Chelsea and Clinton,5.0,4.0,40.749,-74.003501,16950000.0,4352,2018,10001.0
Chelsea and Clinton,2.0,1.0,40.745598,-73.991968,2850000.0,1850,1907,10001.0
Chelsea and Clinton,4.0,3.0,40.75509,-74.00518199999998,8950000.0,2453,2019,10001.0
Chelsea and Clinton,3.0,2.0,40.746898,-73.989303,2975000.0,1310,2017,10001.0
Chelsea and Clinton,2.0,3.0,40.745343,-73.99328100000002,2795000.0,1700,1911,10001.0
Chelsea and Clinton,3.5,3.0,40.746898,-73.989303,6495000.0,2530,2017,10001.0
Chelsea and Clinton,4.5,4.0,40.751098,-74.002998,12500000.0,3840,2016,10001.0
Chelsea and Clinton,3.0,2.0,40.75509,-74.00518199999998,5775000.0,1892,2019,10001.0
Chelsea and Clinton,4.0,4.0,40.748339,-74.000384,6500000.0,3128,1913,10001.0
Chelsea and Clinton,4.0,3.0,40.7523,-74.00389799999998,4750000.0,2272,2016,10001.0
Chelsea and Clinton,4.0,3.0,40.75509,-74.00518199999998,9850000.0,2570,2019,10001.0
Chelsea and Clinton,3.0,3.0,40.7523,-74.00389799999998,3500000.0,1859,2018,10001.0
Chelsea and Clinton,3.0,2.0,40.751098,-74.002998,4795000.0,1717,2016,10001.0
Chelsea and Clinton,4.0,3.0,40.7523,-74.00389799999998,3850000.0,2180,2016,10001.0
Chelsea and Clinton,2.5,2.0,40.746898,-73.989303,2475000.0,1310,2017,10001.0
Chelsea and Clinton,1.0,3.0,40.749254,-73.994884,1995000.0,1706,1927,10001.0
Chelsea and Clinton,3.0,3.0,40.747685,-73.99117,2800000.0,1987,1929,10001.0
Chelsea and Clinton,4.0,3.0,40.751098,-74.002998,9595000.0,2905,2016,10001.0
Chelsea and Clinton,3.0,3.0,40.7523,-74.00389799999998,4300000.0,2180,2018,10001.0
Chelsea and Clinton,2.0,2.0,40.746799,-73.995597,3250000.0,1400,2017,10001.0
Chelsea and Clinton,2.0,2.0,40.7518,-74.002799,3300000.0,1240,2017,10001.0
Chelsea and Clinton,2.0,2.0,40.744626,-73.99233100000002,1650000.0,1250,1905,10001.0
Chelsea and Clinton,2.0,2.0,40.745311,-73.995482,2500000.0,1313,1910,10001.0
Chelsea and Clinton,3.0,3.0,40.7453,-73.995498,6350000.0,3256,1910,10001.0
